Order_ID,Order_Date,Product,Region,Customer, Quantity , Unit_Price , Cost_Per_Unit , Sales , Cost 
ORD01495,2023-02-09 00:00:00,Product_D,North,Customer_1, 19 ," 120,000 "," 75,000 "," 2,052,000 "," 1,425,000 "
ORD01040,2023-02-16 00:00:00,Product_D,South,Customer_1, 10 ," 120,000 "," 75,000 "," 1,080,000 "," 750,000 "
ORD01961,2023-04-12 00:00:00,Product_D,West,Customer_1, 5 ," 120,000 "," 75,000 "," 510,000 "," 375,000 "
ORD00259,2023-06-09 00:00:00,Product_D,North,Customer_1, 3 ," 120,000 "," 75,000 "," 306,000 "," 225,000 "
ORD00461,2023-06-29 00:00:00,Product_D,North,Customer_1, 7 ," 120,000 "," 75,000 "," 714,000 "," 525,000 "
ORD01761,2023-08-31 00:00:00,Product_D,North,Customer_1, 15 ," 120,000 "," 75,000 "," 1,440,000 "," 1,125,000 "
ORD00455,2023-10-16 00:00:00,Product_D,South,Customer_1, 14 ," 120,000 "," 75,000 "," 1,344,000 "," 1,050,000 "
ORD00081,2023-10-23 00:00:00,Product_D,North,Customer_1, 17 ," 120,000 "," 75,000 "," 1,632,000 "," 1,275,000 "
ORD01456,2023-11-26 00:00:00,Product_D,East,Customer_1, 12 ," 120,000 "," 75,000 "," 1,152,000 "," 900,000 "
ORD00540,2024-03-30 00:00:00,Product_D,South,Customer_1, 18 ," 120,000 "," 75,000 "," 2,160,000 "," 1,350,000 "
ORD00831,2024-04-18 00:00:00,Product_D,South,Customer_1, 5 ," 120,000 "," 75,000 "," 600,000 "," 375,000 "
ORD00916,2024-07-27 00:00:00,Product_D,West,Customer_1, 4 ," 120,000 "," 75,000 "," 480,000 "," 300,000 "
ORD01246,2024-09-01 00:00:00,Product_D,South,Customer_1, 4 ," 120,000 "," 75,000 "," 480,000 "," 300,000 "
ORD01941,2024-10-15 00:00:00,Product_D,South,Customer_1, 11 ," 120,000 "," 75,000 "," 1,320,000 "," 825,000 "
ORD01979,2023-03-17 00:00:00,Product_C,South,Customer_1, 12 ," 90,000 "," 50,000 "," 810,000 "," 600,000 "
ORD01897,2023-05-06 00:00:00,Product_C,South,Customer_1, 7 ," 90,000 "," 50,000 "," 472,500 "," 350,000 "
ORD01201,2023-05-31 00:00:00,Product_C,North,Customer_1, 3 ," 90,000 "," 50,000 "," 202,500 "," 150,000 "
ORD01112,2023-07-01 00:00:00,Product_C,North,Customer_1, 7 ," 90,000 "," 50,000 "," 472,500 "," 350,000 "
ORD01585,2023-07-15 00:00:00,Product_C,North,Customer_1, 2 ," 90,000 "," 50,000 "," 135,000 "," 100,000 "
ORD01895,2023-08-04 00:00:00,Product_C,East,Customer_1, 15 ," 90,000 "," 50,000 "," 1,012,500 "," 750,000 "
ORD01568,2023-08-11 00:00:00,Product_C,West,Customer_1, 3 ," 90,000 "," 50,000 "," 202,500 "," 150,000 "
ORD01023,2024-02-15 00:00:00,Product_C,North,Customer_1, 5 ," 90,000 "," 50,000 "," 405,000 "," 250,000 "
ORD01771,2024-08-16 00:00:00,Product_C,South,Customer_1, 6 ," 90,000 "," 50,000 "," 270,000 "," 300,000 "
ORD00242,2024-10-02 00:00:00,Product_C,East,Customer_1, 7 ," 90,000 "," 50,000 "," 315,000 "," 350,000 "
ORD01998,2024-10-26 00:00:00,Product_C,North,Customer_1, 8 ," 90,000 "," 50,000 "," 360,000 "," 400,000 "
ORD01827,2024-01-16 00:00:00,Product_B,East,Customer_1, 8 ," 300,000 "," 90,000 "," 1,680,000 "," 720,000 "
ORD01192,2024-05-05 00:00:00,Product_B,West,Customer_1, 5 ," 300,000 "," 90,000 "," 1,050,000 "," 450,000 "
ORD00319,2024-06-30 00:00:00,Product_B,North,Customer_1, 12 ," 300,000 "," 90,000 "," 2,520,000 "," 1,080,000 "
ORD00631,2024-07-09 00:00:00,Product_B,West,Customer_1, 19 ," 300,000 "," 90,000 "," 5,700,000 "," 1,710,000 "
ORD01042,2024-11-15 00:00:00,Product_B,East,Customer_1, 4 ," 300,000 "," 90,000 "," 1,200,000 "," 360,000 "
ORD00460,2023-04-10 00:00:00,Product_A,East,Customer_1, 1 ," 150,000 "," 110,000 "," 135,000 "," 110,000 "
ORD00378,2023-05-23 00:00:00,Product_A,North,Customer_1, 8 ," 150,000 "," 110,000 "," 1,080,000 "," 880,000 "
ORD00433,2023-07-08 00:00:00,Product_A,North,Customer_1, 4 ," 150,000 "," 110,000 "," 540,000 "," 440,000 "
ORD00189,2024-03-17 00:00:00,Product_A,South,Customer_1, 1 ," 150,000 "," 110,000 "," 112,500 "," 110,000 "
ORD01373,2024-05-04 00:00:00,Product_A,West,Customer_1, 16 ," 150,000 "," 110,000 "," 1,800,000 "," 1,760,000 "
ORD00846,2024-05-20 00:00:00,Product_A,West,Customer_1, 2 ," 150,000 "," 110,000 "," 225,000 "," 220,000 "
ORD01332,2023-01-17 00:00:00,Product_D,North,Customer_10, 2 ," 120,000 "," 75,000 "," 216,000 "," 150,000 "
ORD01607,2023-02-02 00:00:00,Product_D,South,Customer_10, 7 ," 120,000 "," 75,000 "," 756,000 "," 525,000 "
ORD00737,2023-09-25 00:00:00,Product_D,North,Customer_10, 2 ," 120,000 "," 75,000 "," 192,000 "," 150,000 "
ORD00028,2023-11-10 00:00:00,Product_D,South,Customer_10, 19 ," 120,000 "," 75,000 "," 1,824,000 "," 1,425,000 "
ORD01637,2024-03-28 00:00:00,Product_D,South,Customer_10, 3 ," 120,000 "," 75,000 "," 360,000 "," 225,000 "
ORD00909,2024-04-12 00:00:00,Product_D,East,Customer_10, 6 ," 120,000 "," 75,000 "," 720,000 "," 450,000 "
ORD00880,2024-06-01 00:00:00,Product_D,North,Customer_10, 1 ," 120,000 "," 75,000 "," 120,000 "," 75,000 "
ORD00649,2024-06-09 00:00:00,Product_D,North,Customer_10, 5 ," 120,000 "," 75,000 "," 600,000 "," 375,000 "
ORD00818,2023-02-17 00:00:00,Product_C,West,Customer_10, 7 ," 90,000 "," 50,000 "," 472,500 "," 350,000 "
ORD00582,2023-07-13 00:00:00,Product_C,East,Customer_10, 7 ," 90,000 "," 50,000 "," 472,500 "," 350,000 "
ORD01655,2023-11-05 00:00:00,Product_C,East,Customer_10, 5 ," 90,000 "," 50,000 "," 405,000 "," 250,000 "
ORD00663,2024-01-08 00:00:00,Product_C,East,Customer_10, 9 ," 90,000 "," 50,000 "," 729,000 "," 450,000 "
ORD00072,2024-02-06 00:00:00,Product_C,North,Customer_10, 9 ," 90,000 "," 50,000 "," 729,000 "," 450,000 "
ORD01726,2024-03-03 00:00:00,Product_C,West,Customer_10, 9 ," 90,000 "," 50,000 "," 729,000 "," 450,000 "
ORD00933,2023-01-01 00:00:00,Product_B,East,Customer_10, 5 ," 300,000 "," 90,000 "," 600,000 "," 450,000 "
ORD00164,2023-08-13 00:00:00,Product_B,West,Customer_10, 17 ," 300,000 "," 90,000 "," 4,488,000 "," 1,530,000 "
ORD00234,2023-12-12 00:00:00,Product_B,East,Customer_10, 8 ," 300,000 "," 90,000 "," 2,112,000 "," 720,000 "
ORD00674,2024-05-16 00:00:00,Product_B,South,Customer_10, 11 ," 300,000 "," 90,000 "," 2,310,000 "," 990,000 "
ORD01374,2024-09-06 00:00:00,Product_B,East,Customer_10, 10 ," 300,000 "," 90,000 "," 3,000,000 "," 900,000 "
ORD00351,2024-11-16 00:00:00,Product_B,West,Customer_10, 2 ," 300,000 "," 90,000 "," 600,000 "," 180,000 "
ORD00046,2023-01-21 00:00:00,Product_A,South,Customer_10, 7 ," 150,000 "," 110,000 "," 945,000 "," 770,000 "
ORD00418,2023-04-27 00:00:00,Product_A,West,Customer_10, 4 ," 150,000 "," 110,000 "," 540,000 "," 440,000 "
ORD01265,2023-06-17 00:00:00,Product_A,West,Customer_10, 19 ," 150,000 "," 110,000 "," 2,565,000 "," 2,090,000 "
ORD01324,2023-06-21 00:00:00,Product_A,West,Customer_10, 18 ," 150,000 "," 110,000 "," 2,430,000 "," 1,980,000 "
ORD00610,2023-06-22 00:00:00,Product_A,West,Customer_10, 18 ," 150,000 "," 110,000 "," 2,430,000 "," 1,980,000 "
ORD01436,2023-07-06 00:00:00,Product_A,South,Customer_10, 13 ," 150,000 "," 110,000 "," 1,755,000 "," 1,430,000 "
ORD01185,2023-09-21 00:00:00,Product_A,North,Customer_10, 14 ," 150,000 "," 110,000 "," 1,890,000 "," 1,540,000 "
ORD01184,2024-08-26 00:00:00,Product_A,South,Customer_10, 4 ," 150,000 "," 110,000 "," 450,000 "," 440,000 "
ORD01032,2023-06-08 00:00:00,Product_D,South,Customer_11, 15 ," 120,000 "," 75,000 "," 1,530,000 "," 1,125,000 "
ORD00285,2023-06-12 00:00:00,Product_D,West,Customer_11, 19 ," 120,000 "," 75,000 "," 1,938,000 "," 1,425,000 "
ORD00041,2023-09-01 00:00:00,Product_D,West,Customer_11, 18 ," 120,000 "," 75,000 "," 1,728,000 "," 1,350,000 "
ORD01140,2023-11-14 00:00:00,Product_D,South,Customer_11, 12 ," 120,000 "," 75,000 "," 1,152,000 "," 900,000 "
ORD00066,2024-01-23 00:00:00,Product_D,North,Customer_11, 9 ," 120,000 "," 75,000 "," 864,000 "," 675,000 "
ORD00245,2024-02-19 00:00:00,Product_D,South,Customer_11, 15 ," 120,000 "," 75,000 "," 1,800,000 "," 1,125,000 "
ORD01779,2024-03-20 00:00:00,Product_D,North,Customer_11, 8 ," 120,000 "," 75,000 "," 960,000 "," 600,000 "
ORD01028,2024-06-05 00:00:00,Product_D,West,Customer_11, 17 ," 120,000 "," 75,000 "," 2,040,000 "," 1,275,000 "
ORD00858,2024-06-20 00:00:00,Product_D,South,Customer_11, 6 ," 120,000 "," 75,000 "," 720,000 "," 450,000 "
ORD01135,2024-07-14 00:00:00,Product_D,North,Customer_11, 16 ," 120,000 "," 75,000 "," 1,920,000 "," 1,200,000 "
ORD00263,2024-10-20 00:00:00,Product_D,North,Customer_11, 12 ," 120,000 "," 75,000 "," 1,440,000 "," 900,000 "
ORD00862,2023-01-25 00:00:00,Product_C,South,Customer_11, 8 ," 90,000 "," 50,000 "," 540,000 "," 400,000 "
ORD00832,2023-01-28 00:00:00,Product_C,North,Customer_11, 11 ," 90,000 "," 50,000 "," 742,500 "," 550,000 "
ORD01118,2023-06-26 00:00:00,Product_C,East,Customer_11, 17 ," 90,000 "," 50,000 "," 1,147,500 "," 850,000 "
ORD01237,2023-07-20 00:00:00,Product_C,North,Customer_11, 10 ," 90,000 "," 50,000 "," 675,000 "," 500,000 "
ORD01445,2023-08-14 00:00:00,Product_C,South,Customer_11, 7 ," 90,000 "," 50,000 "," 472,500 "," 350,000 "
ORD00843,2023-12-29 00:00:00,Product_C,South,Customer_11, 2 ," 90,000 "," 50,000 "," 162,000 "," 100,000 "
ORD01687,2024-01-01 00:00:00,Product_C,East,Customer_11, 8 ," 90,000 "," 50,000 "," 648,000 "," 400,000 "
ORD01745,2023-01-07 00:00:00,Product_B,South,Customer_11, 10 ," 300,000 "," 90,000 "," 1,200,000 "," 900,000 "
ORD00793,2023-02-20 00:00:00,Product_B,South,Customer_11, 8 ," 300,000 "," 90,000 "," 960,000 "," 720,000 "
ORD00422,2023-02-27 00:00:00,Product_B,North,Customer_11, 11 ," 300,000 "," 90,000 "," 1,320,000 "," 990,000 "
ORD01097,2023-04-27 00:00:00,Product_B,West,Customer_11, 5 ," 300,000 "," 90,000 "," 1,320,000 "," 450,000 "
ORD00635,2023-05-29 00:00:00,Product_B,East,Customer_11, 17 ," 300,000 "," 90,000 "," 4,488,000 "," 1,530,000 "
ORD00676,2023-07-20 00:00:00,Product_B,East,Customer_11, 17 ," 300,000 "," 90,000 "," 4,488,000 "," 1,530,000 "
ORD00436,2023-09-04 00:00:00,Product_B,West,Customer_11, 10 ," 300,000 "," 90,000 "," 2,640,000 "," 900,000 "
ORD01550,2023-12-29 00:00:00,Product_B,East,Customer_11, 7 ," 300,000 "," 90,000 "," 1,848,000 "," 630,000 "
ORD00616,2024-04-20 00:00:00,Product_B,North,Customer_11, 13 ," 300,000 "," 90,000 "," 2,730,000 "," 1,170,000 "
ORD01101,2024-06-20 00:00:00,Product_B,South,Customer_11, 4 ," 300,000 "," 90,000 "," 840,000 "," 360,000 "
ORD01292,2024-09-14 00:00:00,Product_B,South,Customer_11, 18 ," 300,000 "," 90,000 "," 5,400,000 "," 1,620,000 "
ORD00688,2023-01-05 00:00:00,Product_A,North,Customer_11, 1 ," 150,000 "," 110,000 "," 135,000 "," 110,000 "
ORD01554,2023-03-23 00:00:00,Product_A,East,Customer_11, 14 ," 150,000 "," 110,000 "," 1,890,000 "," 1,540,000 "
ORD01740,2023-03-25 00:00:00,Product_A,East,Customer_11, 19 ," 150,000 "," 110,000 "," 2,565,000 "," 2,090,000 "
ORD01646,2023-09-28 00:00:00,Product_A,West,Customer_11, 7 ," 150,000 "," 110,000 "," 945,000 "," 770,000 "
ORD00677,2024-04-05 00:00:00,Product_A,North,Customer_11, 1 ," 150,000 "," 110,000 "," 112,500 "," 110,000 "
ORD01973,2024-10-02 00:00:00,Product_A,West,Customer_11, 7 ," 150,000 "," 110,000 "," 787,500 "," 770,000 "
ORD00018,2024-10-23 00:00:00,Product_A,East,Customer_11, 12 ," 150,000 "," 110,000 "," 1,350,000 "," 1,320,000 "
ORD00685,2023-01-10 00:00:00,Product_D,West,Customer_12, 1 ," 120,000 "," 75,000 "," 108,000 "," 75,000 "
ORD00372,2023-01-20 00:00:00,Product_D,West,Customer_12, 5 ," 120,000 "," 75,000 "," 540,000 "," 375,000 "
ORD00865,2023-03-08 00:00:00,Product_D,North,Customer_12, 1 ," 120,000 "," 75,000 "," 108,000 "," 75,000 "
ORD00716,2023-05-25 00:00:00,Product_D,West,Customer_12, 7 ," 120,000 "," 75,000 "," 714,000 "," 525,000 "
ORD01338,2024-08-14 00:00:00,Product_D,North,Customer_12, 10 ," 120,000 "," 75,000 "," 1,200,000 "," 750,000 "
ORD00454,2024-09-03 00:00:00,Product_D,West,Customer_12, 16 ," 120,000 "," 75,000 "," 1,920,000 "," 1,200,000 "
ORD00251,2024-09-15 00:00:00,Product_D,East,Customer_12, 3 ," 120,000 "," 75,000 "," 360,000 "," 225,000 "
ORD00439,2024-10-17 00:00:00,Product_D,South,Customer_12, 5 ," 120,000 "," 75,000 "," 600,000 "," 375,000 "
ORD00258,2023-02-06 00:00:00,Product_C,North,Customer_12, 10 ," 90,000 "," 50,000 "," 675,000 "," 500,000 "
ORD00731,2023-06-03 00:00:00,Product_C,East,Customer_12, 18 ," 90,000 "," 50,000 "," 1,215,000 "," 900,000 "
ORD00010,2023-08-03 00:00:00,Product_C,West,Customer_12, 1 ," 90,000 "," 50,000 "," 67,500 "," 50,000 "
